t_sec,T_des_target_N,T_des_active_N,T_meas_N,ee_x_m,ee_y_m,ee_z_m,ee_des_x_m,ee_des_y_m,ee_des_z_m
1779787782.195849,10.0,1.5400141539999987,0.17219263408810448,0.2475298086472309,-0.010559297900786734,0.5530441065848376,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.205865,10.0,1.5600071639999986,0.18108828109687636,0.24752984029075148,-0.01055996827218231,0.5530442624852618,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.2158947,10.0,1.5799363299999982,0.18739762440658717,0.24752760951579378,-0.010560580042623629,0.5530439382800144,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.2258778,10.0,1.600182461999998,0.19972858971960616,0.24752815990159813,-0.010561008956641029,0.5530430026436286,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.235865,10.0,1.6203420679999978,0.21535462804696348,0.24752718954092262,-0.010561745265915442,0.553043973326861,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.2459235,10.0,1.6400151879999978,0.22028875749512,0.2475279191709239,-0.010559415005310708,0.5530455177074359,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.255826,10.0,1.659960805999998,0.2263098006915757,0.24752741131724806,-0.010560383731390599,0.553044018824516,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.2658265,10.0,1.6800689739999974,0.23536960098539841,0.24752575693685544,-0.010559815945807741,0.5530445797452758,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.2758315,10.0,1.6999911879999974,0.24070682724702674,0.24752581521818579,-0.010560443887674,0.5530437952729342,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.2858784,10.0,1.7200558939999977,0.25290718093671716,0.2475255340911712,-0.010560704484724539,0.5530426366772352,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.2958355,10.0,1.7399813939999982,0.2634947387800048,0.24752414836965284,-0.010559188561726891,0.5530425711949516,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.3058438,10.0,1.760002837999998,0.27067123227391743,0.24752411121455017,-0.010559421617095839,0.5530422603701884,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.3158238,10.0,1.780055519999998,0.28106449038135584,0.24752438080783487,-0.010559516074324492,0.5530438598785736,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.3258183,10.0,1.800091991999998,0.2853164781537952,0.24752467011588608,-0.010559090340350121,0.5530422134440727,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.33592,10.0,1.8201156399999983,0.29736248673663546,0.2475234604585984,-0.010559147731630325,0.5530440667294793,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.3458767,10.0,1.840020559999998,0.3148719641387083,0.24752357133290928,-0.01055750444636513,0.5530442327601625,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.3559084,10.0,1.8600255719999979,0.3292596960601566,0.24752164462083345,-0.010558975481306835,0.5530456886072388,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.3658931,10.0,1.8800005479999977,0.33439621435358335,0.24752202354856548,-0.0105571795472644,0.5530451977550805,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.3758695,10.0,1.9001972639999978,0.3354727415967416,0.24752257874167405,-0.010557758893227897,0.5530451439575913,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.385822,10.0,1.9199513379999975,0.3395482455209914,0.24752198254322505,-0.0105588246266062,0.553046019191676,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.3958216,10.0,1.9399602179999977,0.3422536943974509,0.2475212394657702,-0.010557172259110936,0.5530462408561586,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.4058533,10.0,1.9600585879999977,0.3441450724992899,0.24751837643086724,-0.01055674383261641,0.553048050185418,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.415868,10.0,1.9799969319999977,0.35263663876937545,0.2475167517754144,-0.010557483347801166,0.5530480234934747,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.4258528,10.0,1.9999825279999977,0.36482094928299447,0.24751531435197024,-0.010556986507529398,0.5530498553796539,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.4359155,10.0,2.019996475999998,0.39055634676261763,0.24751317453229454,-0.01055662378205583,0.5530502863428268,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.445826,10.0,2.0401126399999976,0.41891488093225066,0.24751085015306903,-0.01055642477460262,0.5530501054235852,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.4558628,10.0,2.060000869999998,0.4311109866147766,0.24751152715566702,-0.0105562863406226,0.5530531865462475,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.465829,10.0,2.079956305999998,0.43685262473827224,0.24751203603969368,-0.01055621396011664,0.5530489843993504,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.4759028,10.0,2.100115851999998,0.4334778017602305,0.24751177882377176,-0.010553386143696398,0.5530485961440684,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.485818,10.0,2.1199499399999975,0.43065751828359583,0.2475101712193659,-0.01055427531308658,0.5530500510233541,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.4958386,10.0,2.1399988939999974,0.43291568110885936,0.2475069192884823,-0.010554181682991135,0.5530511054274266,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.505873,10.0,2.160054923999997,0.437127108971394,0.24750197658600231,-0.010553715209947325,0.5530525207856322,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.5158422,10.0,2.1801426539999977,0.44397597300908814,0.2474946180401661,-0.010550605717074975,0.5530535428301755,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.5258455,10.0,2.2001357819999976,0.4600388827946596,0.24747794891775063,-0.010547006748061794,0.5530552063545089,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.5358517,10.0,2.2201367659999978,0.4845342765449438,0.247460774426072,-0.010543765202627196,0.5530528488922027,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.5458174,10.0,2.2401440619999975,0.5089000926869867,0.2474556751073068,-0.010541162380001192,0.5530507585673801,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.5558152,10.0,2.2599669679999974,0.5321873194937914,0.24745573489671438,-0.010540765859912503,0.5530550308136233,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.5658948,10.0,2.280009069999997,0.5453737480431087,0.24745651447684935,-0.010540380484598634,0.5530547524115369,0.24754494657087256,-0.010846458000035305,0.553115630809717
